CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
757,3,6
757,3,18619
757,3,16300
757,3,16149
757,3,552
757,3,94
757,3,142
757,3,51
757,3,153
757,3,16
757,3,367
757,3,1
757,3,6853
757,3,262
757,3,1252
757,3,6263
757,3,4
757,3,161
757,3,6873
757,3,18295
757,3,15225
757,3,18280
757,3,15707
757,3,365
757,3,14741
757,3,19215
757,3,15918
757,3,335
757,3,186
757,3,10
757,3,18296
757,3,1307
757,3,18297
757,3,1181
757,3,1831
757,3,768
757,3,184
757,3,118
757,3,27
759,3,246
759,3,4084
759,3,3
759,3,87
759,3,6210
759,3,8094
759,3,1732
759,3,75
759,3,314
759,3,692
759,3,1786
759,3,909
759,3,858
759,3,250
759,3,2240
759,3,8033
759,3,61
759,3,8036
759,3,5976
759,3,3437
759,3,427
759,3,576
759,3,1175
759,3,1287
759,3,2086
759,3,8031
759,3,8032
759,3,18
759,3,495
759,3,107
759,3,7494
759,3,3682
760,5,170
760,5,77
760,5,5295
762,4,2740
763,3,2740
765,5,156
766,3,2740
767,3,2740
768,3,192
768,3,419
768,3,22
768,3,544
768,3,424
771,4,18168
772,8,20087
772,8,23617
772,8,19804
772,8,20124
773,3,872
773,3,6154
774,10,234
774,10,73
775,4,2740
776,4,2740
778,5,18583
780,3,4121
780,3,2740
781,4,2740
782,3,2740
783,5,5
783,5,3370
784,8,705
786,9,21761
788,10,155
788,10,1793
788,10,357
788,10,147
788,10,51
788,10,32
788,10,7775
788,10,1175
788,10,416
789,4,183
789,4,1539
789,4,2740
790,5,183
790,5,628
792,23,659
792,23,106
792,23,14428
792,23,14429
792,23,554
792,23,1771
792,23,190
793,3,18563
793,3,18581
793,3,18584
793,3,5761
793,3,2740
794,4,18555
795,8,1101
795,8,124
795,8,901
795,8,9116
795,8,77
795,8,118
796,5,183
796,5,1539
799,11,14761
799,11,19808
799,11,5320
800,8,15431
801,7,1850
802,3,15427
802,3,15402
802,3,15405
803,10,84
803,10,135
804,3,158
804,3,2056
805,5,6940
805,5,15813
806,3,477
807,4,15352
807,4,15415
807,4,349
807,4,15405
810,3,6940
810,3,10
810,3,15405
810,3,77
811,4,2905
813,6,142
814,10,1609
815,5,14734
817,17,4
817,17,398
818,3,6
819,6,22
819,6,5759
819,6,18564
820,3,15391
820,3,6876
821,3,2740
822,5,32
822,5,2797
822,5,6703
823,5,10
826,3,2740
828,3,2740
830,7,3938
830,7,65
830,7,16446
831,4,46
831,4,77
832,5,15427
832,5,67
832,5,15405
833,5,155
833,5,14985
833,5,10
833,5,77
834,4,18249
835,3,195
836,4,412
839,12,21100
841,4,101
841,4,36
841,4,1773
841,4,22264
842,3,357
843,3,561
843,3,177
844,14,2695
845,7,15602
846,3,587
846,3,3152
846,3,6589
848,6,19655
849,5,238
850,3,2740
852,4,18558
852,4,4121
852,4,2740
855,9,1887
858,4,15057
858,4,6876
859,6,3401
859,6,578
859,6,1615
859,6,15846
859,6,6537
859,6,18752
859,6,18619
859,6,16300
859,6,16149
859,6,94
859,6,19204
859,6,153
859,6,1575
859,6,344
859,6,3167
859,6,1252
859,6,535
859,6,22139
859,6,58
859,6,6794
859,6,6749
859,6,19122
859,6,1064
859,6,16754
859,6,19215
859,6,33
859,6,186
859,6,18296
859,6,296
859,6,294
859,6,19566
859,6,1181
859,6,768
859,6,490
859,6,27
860,3,3112
860,3,117
861,4,15402
861,4,10
862,4,15528
862,4,32
863,7,6452
864,4,6706
867,4,18399
867,4,670
