CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER,placed_at,final_qty,price,amount,top_cat,sub_cat
41,4,236,2021-07-14,2,0.0,9204760.0,perlengkapan medis,obat oles luka
41,4,271,2021-07-14,1,0.0,9204760.0,obat obatan,obat sakit kepala
41,4,2116,2021-07-14,2,0.0,9204760.0,perawatan gigi,pasta gigi
41,4,26,2021-07-14,6,0.0,9204760.0,minuman dalam kemasan,botol
41,4,16,2021-07-14,2,0.0,9204760.0,minuman bubuk,kopi instant
41,4,6746,2021-07-14,1,0.0,9204760.0,bahan masakan,gula
41,4,1512,2021-07-14,1,0.0,9204760.0,minuman dalam kemasan,minuman segar
41,4,17703,2021-07-14,32,0.0,9204760.0,bahan masakan,minyak sayur
41,4,1150,2021-07-14,1,0.0,9204760.0,obat obatan,obat kaplet
41,4,5716,2021-07-14,1,0.0,9204760.0,obat obatan,obat kaplet
41,4,2878,2021-07-14,2,0.0,9204760.0,makanan instant,mie instant
41,4,863,2021-07-14,2,0.0,9204760.0,makanan instant,mie instant
41,4,862,2021-07-14,4,0.0,9204760.0,makanan instant,mie instant
41,4,468,2021-07-14,2,0.0,9204760.0,bahan makanan,terigu
41,4,175,2021-07-14,3,0.0,9204760.0,bahan makanan,terigu
41,4,17775,2021-07-14,1,0.0,9204760.0,obat obatan,obat kaplet
41,4,1820,2021-07-14,1,0.0,9204760.0,obat luar,balsam
41,4,1407,2021-07-14,1,0.0,9204760.0,obat luar,balsam
43,3,1656,2021-11-12,1,3170000.0,198006500.0,rokok,rokok
43,3,12899,2021-11-12,2,26500.0,198006500.0,makanan ringan,cokelat
43,3,2269,2021-11-12,7,3000.0,198006500.0,makanan ringan,teh
45,3,260,2021-06-30,35,0.0,30000000.0,bahan masakan,gula
45,3,46,2021-06-30,20,0.0,30000000.0,minuman bubuk,kopi instant
45,3,37,2021-06-30,10,0.0,30000000.0,perawatan bayi,popok
45,3,131,2021-06-30,10,0.0,30000000.0,rokok,rokok
45,3,468,2021-06-30,25,0.0,30000000.0,bahan makanan,terigu
45,3,175,2021-06-30,10,0.0,30000000.0,bahan makanan,terigu
47,7,66,2021-12-03,1,203000.0,13249150.0,,
48,8,10,2021-12-24,2,236000.0,1700500.0,rokok,rokok
48,8,1404,2021-12-24,1,255000.0,1700500.0,minuman dalam kemasan,susu
48,8,67,2021-12-24,1,362500.0,1700500.0,rokok,rokok
50,3,2037,2021-10-08,10,547000.0,22193000.0,bahan masakan,gula
52,3,3124,2021-06-25,1,154500.0,4201250.0,rokok,rokok
52,3,74,2021-06-25,1,230000.0,4201250.0,rokok,rokok
