CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
585,88616,173
585,88616,6773
585,88616,589
585,88616,534
585,88616,16396
585,88616,6964
585,88616,22
585,88616,15065
585,88616,1905
585,88616,1890
585,88616,2738
585,88616,16687
585,88616,293
585,88616,10
585,88616,458
585,88616,166
585,88616,27
585,88616,1070
586,223735,9158
591,159592,990
591,159592,400
591,159592,203
592,206706,2191
593,58934,94
593,58934,64
595,228095,58
595,228095,289
595,228095,5711
597,65322,338
597,65322,1075
603,71232,18940
603,71232,768
604,157114,175
605,229395,18991
605,229395,9158
605,229395,9805
605,229395,144
605,229395,454
605,229395,5711
606,53078,5711
607,68478,1235
608,60944,2740
610,58888,18972
611,71660,2165
611,71660,13
614,73131,8
617,165670,9
618,80699,193
620,56287,94
620,56287,1075
622,66957,184
622,66957,34
622,66957,139
622,66957,141
624,58268,804
624,58268,14924
624,58268,299
629,66075,10
629,66075,203
630,145349,19258
630,145349,9542
631,85575,6086
635,79222,174
635,79222,75
635,79222,1137
635,79222,733
636,83918,359
636,83918,18940
637,62461,51
639,112743,43
640,220063,1998
641,66259,1539
642,87035,272
643,58600,2740
646,61783,5759
647,171218,145
647,171218,9
649,65833,2098
651,62708,659
653,62424,271
653,62424,2456
653,62424,335
654,87320,81
654,87320,2000
654,87320,2953
654,87320,795
654,87320,21581
654,87320,16517
654,87320,253
654,87320,232
654,87320,1835
654,87320,89
654,87320,6873
654,87320,763
654,87320,15325
654,87320,20065
654,87320,18635
654,87320,483
654,87320,664
654,87320,420
654,87320,27
654,87320,424
654,87320,11
655,57976,43
656,62972,8
658,151741,193
659,59161,2740
662,61853,18557
663,160712,63
663,160712,148
663,160712,4271
663,160712,2468
663,160712,1584
663,160712,18643
663,160712,328
663,160712,15054
663,160712,15154
663,160712,19002
663,160712,2782
663,160712,6272
663,160712,12939
663,160712,15552
663,160712,6191
663,160712,2056
666,62347,18558
668,59110,2740
669,224555,2152
669,224555,155
669,224555,73
669,224555,1041
669,224555,531
669,224555,1966
669,224555,59
669,224555,64
671,119093,412
672,72489,477
673,86114,256
673,86114,6730
673,86114,173
673,86114,2118
673,86114,811
677,65180,16050
677,65180,18313
677,65180,18320
677,65180,14768
678,83892,354
679,59200,2740
680,64656,628
684,194901,19327
685,74098,13
685,74098,17240
686,72769,6135
687,154020,2148
689,63263,522
689,63263,2899
689,63263,3492
690,72913,4121
691,104496,2588
691,104496,6210
691,104496,692
691,104496,1196
691,104496,19950
691,104496,2908
691,104496,574
691,104496,19951
691,104496,19943
691,104496,22643
691,104496,19939
691,104496,19938
691,104496,32
691,104496,19449
691,104496,19961
691,104496,6774
691,104496,3315
691,104496,159
691,104496,19450
691,104496,19448
691,104496,119
697,61842,367
697,61842,2740
698,64761,183
699,60477,2740
700,60489,2740
701,63137,2740
702,60484,2740
703,62799,2740
704,63133,4121
705,62798,367
705,62798,4121
706,60488,18558
706,60488,2740
707,58553,2740
708,60234,2740
709,62359,2318
710,60463,2740
711,60486,2740
712,60202,2740
714,62322,5761
716,60175,18581
716,60175,2740
721,60181,2740
721,60181,5759
722,62791,367
723,60177,1591
723,60177,2549
723,60177,2740
724,62784,1839
725,60182,2740
727,58579,2237
727,58579,367
733,60502,2740
734,63620,367
736,65741,2309
739,63560,18555
740,64631,183
742,64474,94
742,64474,17681
744,62152,17198
744,62152,2098
745,74541,18003
746,61812,18583
748,58830,196
749,61903,20
749,61903,274
749,61903,19000
749,61903,15575
749,61903,221
749,61903,115
749,61903,1011
751,58608,2740
751,58608,18555
754,191919,9
754,191919,288
755,125375,3
755,125375,807
756,147115,3723
759,108474,246
759,108474,4084
759,108474,3
759,108474,87
759,108474,6210
759,108474,8094
759,108474,1732
759,108474,75
759,108474,314
759,108474,692
759,108474,1786
759,108474,909
759,108474,858
759,108474,250
759,108474,2240
759,108474,8033
759,108474,61
759,108474,8036
759,108474,5976
759,108474,3437
759,108474,427
759,108474,576
759,108474,1175
759,108474,1287
759,108474,2086
759,108474,8031
759,108474,8032
759,108474,18
759,108474,495
759,108474,107
759,108474,7494
759,108474,3682
760,108504,170
760,108504,77
760,108504,5295
762,63989,2740
763,59105,2740
765,63977,156
767,59019,2740
768,180849,192
768,180849,419
768,180849,22
768,180849,544
768,180849,424
771,64475,18168
772,97334,20087
772,97334,23617
772,97334,19804
772,97334,20124
773,63192,872
773,63192,6154
774,137543,234
774,137543,73
775,59178,2740
778,61838,18583
781,59187,2740
782,59183,2740
783,116630,5
783,116630,3370
784,196079,705
788,138401,155
788,138401,1793
788,138401,357
788,138401,147
788,138401,51
788,138401,32
788,138401,7775
788,138401,1175
